,abstract,pub_date,type_of_material,word_count,print_page,headline,section_name,subsection_name
8558,"A movement arrives at a key question, and Joe Biden takes a side: This is your morning tip sheet.",2020-06-09T11:05:08+0000,News,1473,,A Movement Meets a Question: Defund or Reform the Police?,U.S.,Politics
8559,,2020-06-10T22:02:47+0000,,0,,California Primary Election Results: 23rd House District,U.S.,Elections
8560,,2020-06-10T22:02:47+0000,,0,,California Primary Election Results: 12th House District,U.S.,Elections
8561,,2020-06-10T22:02:52+0000,,0,,California Primary Election Results: 41st House District,U.S.,Elections
8562,,2020-06-10T22:02:52+0000,,0,,California Primary Election Results: 42nd House District,U.S.,Elections
8563,,2020-06-10T22:02:54+0000,,0,,Texas Primary Election Results: Seventh House District,U.S.,Elections
8564,,2020-06-10T22:02:54+0000,,0,,Texas Primary Election Results: 14th House District,U.S.,Elections
8565,,2020-06-10T22:02:47+0000,,0,,California Primary Election Results: 15th House District,U.S.,Elections
8566,,2020-06-10T22:02:48+0000,,0,,California Primary Election Results: 31st House District,U.S.,Elections
8581,,2020-06-10T22:02:51+0000,,0,,California Special Election Results: 25th House District,U.S.,Elections
8584,,2020-06-10T22:02:47+0000,,0,,California Primary Election Results: 21st House District,U.S.,Elections
8585,,2020-06-10T22:02:47+0000,,0,,California Primary Election Results: 11th House District,U.S.,Elections
8586,"In his Graphic Content column, Ed Park reviews Noah Van Sciver’s “The Complete Works of Fante Bukowski” and Gabrielle Bell’s “Inappropriate.”",2020-06-09T20:51:53+0000,News,981,,Comics That Are Down and Out and Happy That Way,Books,Book Review
8588,"MoCA Cleveland has apologized to the artist Shaun Leonardo, whose charcoal drawings represent victims of police violence.",2020-06-09T14:07:07+0000,News,924,4.0,A Museum Canceled a Show About Police Brutality. Here’s the Art.,Arts,Art & Design
8592,"Philip Manshaus admitted to killing his stepsister and storming a mosque near Oslo last year, saying he was inspired by other far-right attacks.",2020-06-11T10:44:30+0000,News,802,,Norway Mosque Attacker Gets 21-Year Sentence,World,Europe
8593,A Google research scientist explains why she thinks the police shouldn’t use facial recognition software.,2020-06-09T19:05:04+0000,News,1142,,A Case for Banning Facial Recognition,Technology,
8594,"On the popular tourist island of Mykonos, the housing market eagerly awaits the return of foreign buyers.",2020-06-10T13:30:24+0000,News,1390,6.0,House Hunting in Greece: Sugar Cubes on the Aegean Sea for $2 Million,Real Estate,
8596,"Understand, the plan isn’t to get rid of all cops.",2020-06-11T00:24:13+0000,Op-Ed,864,26.0,When It Works to ‘Defund the Police’,Opinion,
8597,"The bank has asked the U.S. to review demands that any settlement include a guilty plea to a felony charge, according to people briefed on the matter.",2020-06-11T18:01:55+0000,News,1151,7.0,Goldman Sachs Is Said to Try to Avoid Pleading Guilty in 1MDB Scandal,Business Day,
8598,"Astrobotic, a Pittsburgh company, won a $199.5 million contract to transport NASA’s VIPER rover to the lunar surface.",2020-06-11T19:58:46+0000,News,735,8.0,NASA Needs to Find Ice on the Moon. This Rover Will Lead the Search.,Science,
8601,,2020-06-10T22:02:55+0000,,0,,Texas Primary Election Results: 15th House District,U.S.,Elections
8604,Some countries with fast-spreading outbreaks are opening regardless.,2020-06-11T00:37:57+0000,briefing,1040,,Coronavirus Briefing: What Happened Today,U.S.,
8605,The latest on stock market and business news during the coronavirus outbreak.,2020-06-09T09:17:21+0000,News,2261,,"In Retreat, Wall Street Pulls Back From Rally",Business Day,
8606,"Major League Soccer views a monthlong, World Cup-style tournament at Disney World as a prelude to the resumption of its regular season in the fall.",2020-06-10T14:54:05+0000,News,601,10.0,M.L.S. Plans Return With Florida Event. But It’s Already Looking Past It.,Sports,Soccer
8609,The lutenist Thomas Dunford and the harpsichordist Jean Rondeau create their own duo repertory on the album “Barricades.”,2020-06-09T16:06:58+0000,News,1095,3.0,"The Gentle, Brilliant Bros of French Baroque Music",Arts,Music
8614,"The nation’s leading infectious disease expert tells biotech executives that Covid-19 has inflicted global damage, exposing worrisome racial disparities.",2020-06-09T18:34:12+0000,News,722,7.0,Fauci Warns That the Coronavirus Pandemic Is Far From Over,Health,
8615,"As the head of a major hospital, I fought the coronavirus. As a black man, I fight racism.",2020-06-09T20:12:45+0000,Op-Ed,720,27.0,I Fought Two Plagues and Only Beat One,Opinion,
8616,"With large parts of our lives on pause, our relationship to motion, and the world outside of our homes, has been profoundly altered. We asked three photographers to explore movement in their everyday environments.",2020-06-09T13:00:25+0000,News,437,,The Quotidian and the Surreal,Arts,
8617,"The government could still block the case, which was filed by a pro-democracy lawmaker under a seldom-used legal mechanism.",2020-06-11T12:18:59+0000,News,567,,Hong Kong Officer Is Summoned to Face Charges Over Shooting of Protester,World,Asia Pacific
8632,Looking for something fun to do in confinement? Here’s a roundup of some of our readers’ favorite board games.,2020-06-11T09:00:08+0000,News,488,,Board Games for a Desert Island,Style,
8635,The Game Maker for The New York Times (Yes! There is a Game Maker) explains.,2020-06-11T09:00:38+0000,News,924,,Why Do People Love Games?,Style,
8636,"There’s “no nook or cranny” on the planet where it doesn’t end up, the lead researcher on a new study said.",2020-06-11T18:02:06+0000,News,913,16.0,"Where’s Airborne Plastic? Everywhere, Scientists Find.",Climate,
8638,We asked an art historian who studies the destruction of cultural heritage.,2020-06-11T21:56:15+0000,News,1237,,What Does It Mean to Tear Down a Statue?,Style,
